request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,Pay IDR 15.656.000 today. This leaves at least IDR 24.768.300 available over the next 90 days.
request_27,6670,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,"Pay ZAR 6,670 today. This leaves at least ZAR 20,500 available over the next 90 days."
request_28,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 August 2024. None of the available options keeps the EUR 1,100 minimum protected."
request_29,2317.73,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 51,524 request. Although ZAR 2,317.73 is available today, the full amount cannot be completed safely within 90 days."
request_30,775.2,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-04-06,none,"Use 3 installments of USD 268.74, starting 6 April 2026. This leaves at least USD 900 available."
request_31,2672074.94,affordable_later,wait,2024-11-15:18164000,2024-11-15,none,Pay IDR 18.164.000 in full on 15 November 2024. Paying earlier would take the balance below the IDR 16.588.900 minimum.
request_32,13247.67,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 40,018 request. Although ZAR 13,247.67 is available today, the full amount cannot be completed safely within 90 days."
request_33,31473.85,affordable_later,wait,2026-03-15:118000,2026-03-15,none,"Pay INR 118,000 in full on 15 March 2026. Paying earlier would take the balance below the INR 102,100 minimum."
request_34,129400,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,"Pay INR 129,400 today. This leaves at least INR 138,500 available over the next 90 days."
request_35,22699.29,affordable_later,wait,2026-01-15:212000,2026-01-15,none,"Pay INR 212,000 in full on 15 January 2026. Paying earlier would take the balance below the INR 106,400 minimum."
request_36,575.66,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 3,954 request. Although USD 575.66 is available today, the full amount cannot be completed safely within 90 days."
request_37,0,not_affordable,not_recommended,none,,none,Do not make this payment by 15 May 2024. None of the available options keeps the IDR 17.056.200 minimum protected.
request_38,174.89,affordable_later,wait,2025-10-15:971.3,2025-10-15,none,Pay EUR 971.3 in full on 15 October 2025. Paying earlier would take the balance below the EUR 400 minimum.
request_39,55231.35,affordable_later,wait,2026-06-15:208600,2026-06-15,none,"Pay INR 208,600 in full on 15 June 2026. Paying earlier would take the balance below the INR 213,400 minimum."
request_40,357.17,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 1,290.3 request. Although EUR 357.17 is available today, the full amount cannot be completed safely within 90 days."
request_41,8045065.85,affordable_later,wait,2026-01-15:38760000,2026-01-15,none,Pay IDR 38.760.000 in full on 15 January 2026. Paying earlier would take the balance below the IDR 25.366.600 minimum.
request_42,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 March 2026. None of the available options keeps the INR 113,100 minimum protected."
request_43,8407454.91,affordable_later,wait,2024-11-15:43339000,2024-11-15,none,Pay IDR 43.339.000 in full on 15 November 2024. Paying earlier would take the balance below the IDR 21.398.000 minimum.
request_44,30703.19,affordable_later,wait,2025-04-15:95800,2025-04-15,none,"Pay INR 95,800 in full on 15 April 2025. Paying earlier would take the balance below the INR 82,900 minimum."
request_45,3378579.68,affordable_later,wait,2026-09-15:21983000,2026-09-15,none,Pay IDR 21.983.000 in full on 15 September 2026. Paying earlier would take the balance below the IDR 11.149.800 minimum.
request_46,35406.68,affordable_with_plan,partial_payment,2024-12-03:35406.68|2024-12-15:14043.32,2024-12-15,none,"Pay INR 35,406.68 today and the remaining INR 14,043.32 on 15 December 2024. This completes the full request and keeps the INR 84,000 minimum protected."
request_47,19030681.06,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 38.114.000 request. Although IDR 19.030.681 is available today, the full amount cannot be completed safely within 90 days."
request_48,45700,affordable_now,full_payment,2026-07-25:45700,2026-07-25,none,"Pay INR 45,700 today. This leaves at least INR 71,300 available over the next 90 days."
request_49,12365045.23,not_affordable,not_recommended,none,2024-05-15,none,Do not make this payment by 22 May 2024. None of the available options keeps the IDR 20.275.700 minimum protected.
request_50,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 21 August 2025. None of the available options keeps the INR 99,700 minimum protected."
request_51,2191000,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,Pay IDR 2.191.000 today. This leaves at least IDR 7.811.000 available over the next 90 days.
request_52,19253.15,affordable_later,wait,2024-06-15:28870,2024-06-15,none,"Pay INR 28,870 in full on 15 June 2024. Paying earlier would take the balance below the INR 41,500 minimum."
request_53,465.18,affordable_with_plan,installments,2025-11-21:589.06|2025-12-19:589.06|2026-01-16:589.06,2026-01-15,none,"Use 3 installments of USD 589.06, starting 21 November 2025. This leaves at least USD 2,100 available."
request_54,1755.58,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 121,528 request. Although ZAR 1,755.58 is available today, the full amount cannot be completed safely within 90 days."
request_55,129389.29,affordable_with_plan,installments,2026-06-11:75781.33|2026-07-12:75781.33|2026-08-12:75781.33,2026-07-15,none,"Use 3 installments of INR 75,781.33, starting 11 June 2026. This leaves at least INR 124,300 available."
request_56,634.02,affordable_with_plan,partial_payment,2025-02-03:634.02|2025-02-15:247.54,2025-02-15,none,"Pay USD 634.02 today and the remaining USD 247.54 on 15 February 2025. This completes the full request and keeps the USD 2,100 minimum protected."
